EmployeeID,Department,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Total,RFM_Segment,R_Score_Department,F_Score_Department,M_Score_Department,RFM_Total_Department,RFM_Segment_Department
1,Sales,1.0,0.2833333333333333,0.6375460768825698,4,3,5,12,Need Further Observation,4,3,5,12,Need Further Observation
2,Research & Development,0.5,0.7452380952380953,0.1674565560821485,2,5,2,9,Need Further Observation,2,5,2,9,Need Further Observation
3,Research & Development,1.0,0.22619047619047616,0.9646656134807794,4,2,5,11,Need Further Observation,4,2,5,11,Need Further Observation
4,Research & Development,0.125,0.21666666666666667,0.38504476040021063,1,2,4,7,Don't Promote,1,2,4,7,Don't Promote
5,Research & Development,1.0,0.14404761904761904,0.07019483938915219,4,1,1,6,Don't Promote,4,1,1,6,Don't Promote
6,Research & Development,0.125,0.20476190476190476,0.16124275934702476,1,2,2,5,Don't Promote,1,2,2,5,Don't Promote
7,Research & Development,1.0,0.8297619047619047,0.25297525013164823,4,5,4,13,Recommend for Promotion,4,5,4,13,Recommend for Promotion
8,Research & Development,1.0,0.8011904761904762,0.11237493417588204,4,5,2,11,Need Further Observation,4,5,2,11,Need Further Observation
9,Research & Development,0.125,0.8904761904761904,0.054502369668246446,1,5,1,7,Don't Promote,1,5,1,7,Don't Promote
10,Research & Development,0.5,0.15476190476190477,0.6558715113217483,2,1,5,8,Don't Promote,2,1,5,8,Don't Promote
11,Research & Development,0.2,0.23809523809523808,0.36766719325961034,1,3,4,8,Don't Promote,1,3,4,8,Don't Promote
12,Research & Development,0.09090909090909091,0.294047619047619,0.12469720905739863,1,4,2,7,Don't Promote,1,4,2,7,Don't Promote
13,Research & Development,0.2,0.1976190476190476,0.23849394418114797,1,2,3,6,Don't Promote,1,2,3,6,Don't Promote
14,Research & Development,0.1,0.11666666666666667,0.25028962611901,1,1,4,6,Don't Promote,1,1,3,5,Don't Promote
15,Research & Development,1.0,0.31547619047619047,0.08335966298051606,4,4,1,9,Need Further Observation,4,4,1,9,Need Further Observation
16,Research & Development,1.0,0.2833333333333333,0.2283833596629805,4,3,3,10,Need Further Observation,4,3,3,10,Need Further Observation
17,Research & Development,0.5,0.17738095238095236,0.16872037914691942,2,2,2,6,Don't Promote,2,2,2,6,Don't Promote
18,Research & Development,1.0,0.3047619047619048,0.16419167983149024,4,4,2,10,Need Further Observation,4,4,2,10,Need Further Observation
19,Sales,0.14285714285714285,0.17023809523809522,0.07525013164823591,1,1,1,3,Don't Promote,1,1,1,3,Don't Promote
20,Research & Development,0.125,0.13333333333333333,0.3086361242759347,1,1,4,6,Don't Promote,1,1,4,6,Don't Promote
21,Research & Development,0.5,0.2583333333333333,0.496998420221169,2,3,5,10,Need Further Observation,2,3,5,10,Need Further Observation
22,Sales,0.5,0.7452380952380953,0.45592417061611373,2,5,4,11,Need Further Observation,2,5,5,12,Need Further Observation
